target,listing_type,kitchen_type,building_condition,postcode,tenement_building,double_glazing,furnished,bathroom,m2,bedrooms,number_bedrooms
1080,Apartment,Hyper equipped,Good,1000,No,Yes,No,1.0,70,10,2
1100,Apartment,Installed,Good,1030,No,No,Yes,1.0,90,16,2
2400,Other,Hyper equipped,Good,1180,No,Yes,No,4.0,132,17,4
890,Other,Semi equipped,Good,1050,No,No,Unknown,1.0,50,18,1
1610,Other,Not installed,Renovated,1180,No,Yes,Unknown,2.0,124,60,2
970,Other,Semi equipped,Good,,No,No,Unknown,1.0,128,10,1
950,Apartment,Not installed,Good,1030,No,Yes,No,2.0,95,10,2
1900,Other,Hyper equipped,Renovated,1200,No,Yes,No,2.0,137,10,3
2100,Other,Hyper equipped,Renovated,1200,No,Yes,No,3.0,160,17,4
2285,Other,Hyper equipped,Renovated,,No,Yes,No,3.0,154,12,3
1750,Apartment,Hyper equipped,Good,1000,No,Yes,Yes,1.0,95,17,2
875,Apartment,Not installed,Good,,No,No,Unknown,1.0,80,23,1
1150,Apartment,Hyper equipped,Good,1150,No,Yes,No,1.0,75,16,2
1640,Apartment,Installed,Good,1050,No,Yes,Yes,1.0,75,10,2
1220,Apartment,Installed,Good,1040,No,Yes,No,1.0,67,10,2
3050,Other,Hyper equipped,Renovated,1040,No,Yes,Yes,2.0,300,20,4
1100,Apartment,Not installed,Good,1140,No,Yes,No,1.0,100,10,2
1275,Apartment,Not installed,Good,1040,No,Yes,Yes,1.0,65,10,1
715,Apartment,Installed,Renovated,1050,No,Yes,Unknown,1.0,60,10,1
816,Apartment,Installed,Good,1030,No,Yes,No,1.0,48,10,1
1100,Apartment,Installed,Good,1060,No,Yes,Yes,1.0,50,10,1
1800,Apartment,Hyper equipped,Renovated,1040,No,Yes,No,1.0,109,16,2
970,Apartment,Installed,Good,1180,No,Yes,No,1.0,74,14,2
920,Apartment,Not installed,Good,1040,No,Yes,No,1.0,42,10,1
1380,Apartment,Hyper equipped,Renovated,1070,No,Yes,No,1.0,128,18,2
1450,Other,Installed,Good,,No,No,Unknown,2.0,128,10,3
1205,Apartment,Hyper equipped,Good,1040,No,Yes,No,1.0,70,10,1
921,Apartment,Not installed,Good,1040,No,Yes,No,1.0,63,10,1
1355,Apartment,Hyper equipped,Good,1040,No,Yes,Yes,1.0,70,10,1
1050,Apartment,Installed,Renovated,1000,No,Yes,Yes,1.0,128,10,1
860,Apartment,Installed,Good,1030,No,Yes,Unknown,1.0,128,10,1
1315,Apartment,Not installed,Good,1040,No,Yes,No,1.0,75,10,1
1800,Other,Hyper equipped,Renovated,1050,No,Yes,Unknown,1.0,120,20,3
1555,Apartment,Not installed,Good,1180,No,No,Yes,2.0,100,15,1
850,Apartment,Installed,Good,,No,Yes,Unknown,1.0,55,9,1
1000,Apartment,Not installed,Renovated,1083,No,No,Unknown,1.0,128,16,2
2150,Apartment,Installed,Renovated,1180,No,Yes,Unknown,2.0,137,13,3
2300,Apartment,Hyper equipped,Renovated,1000,No,Yes,No,2.0,128,16,2
4400,Apartment,Hyper equipped,Renovated,1050,No,Yes,Yes,2.0,155,20,2
