target,listing_type,kitchen_type,building_condition,postcode,double_glazing,bathroom,m2,number_bedrooms
890,Other,Semi equipped,Good,1050,No,1.0,50,1
1610,Other,Not installed,Renovated,1180,Yes,2.0,124,2
970,Other,Semi equipped,Good,,No,1.0,128,1
950,Apartment,Not installed,Good,1030,Yes,2.0,95,2
1900,Other,Hyper equipped,Renovated,1200,Yes,2.0,137,3
2100,Other,Hyper equipped,Renovated,1200,Yes,3.0,160,4
2285,Other,Hyper equipped,Renovated,,Yes,3.0,154,3
1750,Apartment,Hyper equipped,Good,1000,Yes,1.0,95,2
875,Apartment,Not installed,Good,,No,1.0,80,1
1150,Apartment,Hyper equipped,Good,1150,Yes,1.0,75,2
1640,Apartment,Installed,Good,1050,Yes,1.0,75,2
1220,Apartment,Installed,Good,1040,Yes,1.0,67,2
3050,Other,Hyper equipped,Renovated,1040,Yes,2.0,300,4
1100,Apartment,Not installed,Good,1140,Yes,1.0,100,2
1275,Apartment,Not installed,Good,1040,Yes,1.0,65,1
715,Apartment,Installed,Renovated,1050,Yes,1.0,60,1
816,Apartment,Installed,Good,1030,Yes,1.0,48,1
1100,Apartment,Installed,Good,1060,Yes,1.0,50,1
1800,Apartment,Hyper equipped,Renovated,1040,Yes,1.0,109,2
970,Apartment,Installed,Good,1180,Yes,1.0,74,2
920,Apartment,Not installed,Good,1040,Yes,1.0,42,1
1380,Apartment,Hyper equipped,Renovated,1070,Yes,1.0,128,2
1450,Other,Installed,Good,,No,2.0,128,3
1205,Apartment,Hyper equipped,Good,1040,Yes,1.0,70,1
921,Apartment,Not installed,Good,1040,Yes,1.0,63,1
1355,Apartment,Hyper equipped,Good,1040,Yes,1.0,70,1
1050,Apartment,Installed,Renovated,1000,Yes,1.0,128,1
860,Apartment,Installed,Good,1030,Yes,1.0,128,1
1315,Apartment,Not installed,Good,1040,Yes,1.0,75,1
1800,Other,Hyper equipped,Renovated,1050,Yes,1.0,120,3
1555,Apartment,Not installed,Good,1180,No,2.0,100,1
850,Apartment,Installed,Good,,Yes,1.0,55,1
1000,Apartment,Not installed,Renovated,1083,No,1.0,128,2
2150,Apartment,Installed,Renovated,1180,Yes,2.0,137,3
2300,Apartment,Hyper equipped,Renovated,1000,Yes,2.0,128,2
4400,Apartment,Hyper equipped,Renovated,1050,Yes,2.0,155,2
