target,kitchen_type,building_condition,postcode,tenement_building,double_glazing,furnished,bathroom,m2,bedrooms,number_bedrooms,Municipality
3350,Hyper equipped,Renovated,1180,No,Yes,No,2,100,12,2,Uccle
3350,Hyper equipped,Renovated,1180,No,Yes,No,2,100,24,2,Uccle
1200,Hyper equipped,Renovated,1200,No,Yes,No,1,68,12,1,Woluwe-Saint-Lambert
890,Installed,Renovated,1080,No,Yes,No,1,80,20,1,Molenbeek-Saint-Jean
1130,Hyper equipped,Good,1070,No,Yes,Yes,1,129,13,1,Anderlecht
910,Hyper equipped,Renovated,1000,No,Yes,No,1,60,10,1,Brussels City
2000,Not installed,Good,1050,No,Yes,No,2,220,10,3,Ixelles
1700,Not installed,Renovated,1050,No,Yes,No,2,160,10,3,Ixelles
2600,Hyper equipped,Good,1000,No,Yes,No,4,200,10,3,Brussels City
2350,Installed,Good,1060,No,Yes,No,5,250,10,5,Saint-Gilles
961,Not installed,Good,1030,No,Yes,No,1,75,22,2,Schaerbeek
800,Installed,Renovated,1070,No,Yes,Unknown,1,36,10,1,Anderlecht
1525,Hyper equipped,Good,1040,No,Yes,No,1,85,10,1,Etterbeek
1525,Hyper equipped,Good,1040,No,Yes,No,1,85,10,1,Etterbeek
1240,Hyper equipped,Good,1000,No,Yes,No,1,100,35,1,Brussels City
1250,Hyper equipped,Renovated,1050,No,Yes,Yes,1,70,10,1,Ixelles
1100,Not installed,Renovated,1180,No,Yes,Yes,1,50,10,1,Uccle
980,Hyper equipped,Renovated,1160,No,Yes,Unknown,1,75,15,1,Auderghem
1310,Installed,Renovated,1180,No,Yes,Yes,1,85,17,2,Uccle
1575,Hyper equipped,Renovated,1050,No,Yes,Yes,1,70,15,1,Ixelles
2350,Installed,Renovated,1030,No,Yes,Unknown,3,180,15,5,Schaerbeek
1150,Not installed,Renovated,1200,No,Yes,No,1,120,10,2,Woluwe-Saint-Lambert
4400,Not installed,Renovated,1050,No,Yes,No,4,250,23,3,Ixelles
977,Not installed,Good,1070,No,Yes,No,1,82,15,2,Anderlecht
1010,Hyper equipped,Good,1040,No,Yes,No,1,68,10,1,Etterbeek
1425,Hyper equipped,Renovated,1140,No,Yes,Yes,1,60,15,1,Evere
2600,Hyper equipped,Renovated,1000,No,Yes,Yes,2,149,10,3,Brussels City
3700,Hyper equipped,Renovated,1000,No,Yes,Yes,2,161,24,3,Brussels City
2800,Hyper equipped,Renovated,1050,No,Yes,Unknown,3,200,10,3,Ixelles
